"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Добавляю товар в корзину и проверяю соответствие характеристик товара на витрине и в корзине","17431","testAddProductToCart","All test","Sat Aug 30 17:33:37 UTC 2025","broken","Sat Aug 30 17:33:55 UTC 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testAddProductToCart"
"Проверка характеристик товара до и после помещения в корзину","485","testProductToCart","All test","Sat Aug 30 17:33:32 UTC 2025","failed","Sat Aug 30 17:33:33 UTC 2025","api.test.ProductGuestTest","Tests for API","api.test.ProductGuestTest","testProductToCart"
"Проверка стоимости досавки в зависимости от суммы товаров в корзине","762","testShipping","All test","Sat Aug 30 17:33:31 UTC 2025","failed","Sat Aug 30 17:33:32 UTC 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testShipping"
"Ложу 2 товара в корзину, изменяю у одного товара количество и удаляю другой товар из корзины","16967","testCRUDCart","All test","Sat Aug 30 17:34:06 UTC 2025","broken","Sat Aug 30 17:34:23 UTC 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testCRUDCart"
"При клике по иконке 'Favorites' загружается стараница 'Favorites'","5807","testFavoritesIcon","All test","Sat Aug 30 17:35:20 UTC 2025","passed","Sat Aug 30 17:35:25 UTC 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","testFavoritesIcon"
"При клике по иконке 'Search' появляется окно 'Search'","10471","testSearchIcon","All test","Sat Aug 30 17:35:29 UTC 2025","broken","Sat Aug 30 17:35:40 UTC 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","testSearchIcon"
"Удаляем товар из корзины","154","testRemoveItemFromCart","All test","Sat Aug 30 17:33:29 UTC 2025","passed","Sat Aug 30 17:33:29 UTC 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testRemoveItemFromCart"
"Получаем все товары из корзины","611","testGetAllItemsInCart","All test","Sat Aug 30 17:33:29 UTC 2025","passed","Sat Aug 30 17:33:29 UTC 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testGetAllItemsInCart"
"Обновляем данные одного товара из корзины","114","testUpdateItemInCart","All test","Sat Aug 30 17:33:29 UTC 2025","passed","Sat Aug 30 17:33:29 UTC 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testUpdateItemInCart"
"Проверка стоимости досавки в зависимости от суммы товаров в корзине","561","testShipping","All test","Sat Aug 30 17:33:30 UTC 2025","passed","Sat Aug 30 17:33:31 UTC 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testShipping"
"Обновляю данные о товаре в корзине","17001","testUpdateProductToCart","All test","Sat Aug 30 17:34:49 UTC 2025","broken","Sat Aug 30 17:35:06 UTC 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testUpdateProductToCart"
"При клике по иконке 'Cart' загружается стараница 'Shopping Bag'","1801","testCartIcon","All test","Sat Aug 30 17:35:14 UTC 2025","passed","Sat Aug 30 17:35:16 UTC 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","testCartIcon"
"Удаляю товар из корзины","16514","testDeleteProductToCart","All test","Sat Aug 30 17:34:28 UTC 2025","broken","Sat Aug 30 17:34:44 UTC 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testDeleteProductToCart"
"Ложим 2 товара в корзину, изменяем у одного товара количество и удаляем другой товар из корзины","870","testCRUDCartGuest","All test","Sat Aug 30 17:33:29 UTC 2025","failed","Sat Aug 30 17:33:30 UTC 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testCRUDCartGuest"
"Добавляем товар в корзину","430","testAddItemToCart","All test","Sat Aug 30 17:33:28 UTC 2025","passed","Sat Aug 30 17:33:29 UTC 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testAddItemToCart"
"Получаем токен Guest","2909","testGetAccessTokenGuest","All test","Sat Aug 30 17:33:25 UTC 2025","passed","Sat Aug 30 17:33:28 UTC 2025","api.test.AuthTest","Tests for API","api.test.AuthTest","testGetAccessTokenGuest"
"При клике по иконке 'Account' появляется окно 'Account'","563","testAccountIcon","All test","Sat Aug 30 17:35:10 UTC 2025","passed","Sat Aug 30 17:35:10 UTC 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","testAccountIcon"
"Получаю данные о товаре","498","testGetProduct","All test","Sat Aug 30 17:33:32 UTC 2025","passed","Sat Aug 30 17:33:32 UTC 2025","api.test.ProductGuestTest","Tests for API","api.test.ProductGuestTest","testGetProduct"
