"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Получаем все товары из корзины","626","testGetAllItemsInCart","All test","Mon Aug 04 17:00:24 GMT 2025","passed","Mon Aug 04 17:00:25 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testGetAllItemsInCart"
"Добавляем товар в корзину","451","testAddItemToCart","All test","Mon Aug 04 17:00:24 GMT 2025","passed","Mon Aug 04 17:00:24 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testAddItemToCart"
"Получаем токен Guest","3285","testGetAccessTokenGuest","All test","Mon Aug 04 17:00:20 GMT 2025","passed","Mon Aug 04 17:00:24 GMT 2025","api.test.AuthTest","Tests for API","api.test.AuthTest","testGetAccessTokenGuest"
"Обновляю данные о товаре в корзине","3283","testUpdateProductToCart","All test","Mon Aug 04 17:01:12 GMT 2025","broken","Mon Aug 04 17:01:15 GMT 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testUpdateProductToCart"
"При клике по иконке 'Cart' загружается стараница 'Shopping Bag'","1660","testCartIcon","All test","Mon Aug 04 17:01:26 GMT 2025","passed","Mon Aug 04 17:01:27 GMT 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","testCartIcon"
"При клике по иконке 'Account' появляется окно 'Account'","675","testAccountIcon","All test","Mon Aug 04 17:01:21 GMT 2025","passed","Mon Aug 04 17:01:22 GMT 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","testAccountIcon"
"При клике по иконке 'Favorites' загружается стараница 'Favorites'","5774","testFavoritesIcon","All test","Mon Aug 04 17:01:31 GMT 2025","passed","Mon Aug 04 17:01:37 GMT 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","testFavoritesIcon"
"При клике по иконке 'Search' появляется окно 'Search'","693","testSearchIcon","All test","Mon Aug 04 17:01:41 GMT 2025","passed","Mon Aug 04 17:01:42 GMT 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","testSearchIcon"
"Удаляю товар из корзины","11812","testDeleteProductToCart","All test","Mon Aug 04 17:00:56 GMT 2025","passed","Mon Aug 04 17:01:08 GMT 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testDeleteProductToCart"
"Получаю данные о товаре","347","testGetProduct","All test","Mon Aug 04 17:00:28 GMT 2025","passed","Mon Aug 04 17:00:28 GMT 2025","api.test.ProductGuestTest","Tests for API","api.test.ProductGuestTest","testGetProduct"
"Удаляем товар из корзины","207","testRemoveItemFromCart","All test","Mon Aug 04 17:00:25 GMT 2025","passed","Mon Aug 04 17:00:25 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testRemoveItemFromCart"
"Проверка стоимости досавки в зависимости от суммы товаров в корзине","711","testShipping","All test","Mon Aug 04 17:00:27 GMT 2025","failed","Mon Aug 04 17:00:28 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testShipping"
"Проверка характеристик товара до и после помещения в корзину","905","testProductToCart","All test","Mon Aug 04 17:00:28 GMT 2025","passed","Mon Aug 04 17:00:29 GMT 2025","api.test.ProductGuestTest","Tests for API","api.test.ProductGuestTest","testProductToCart"
"Ложим 2 товара в корзину, изменяем у одного товара количество и удаляем другой товар из корзины","944","testCRUDCartGuest","All test","Mon Aug 04 17:00:25 GMT 2025","failed","Mon Aug 04 17:00:26 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testCRUDCartGuest"
"Обновляем данные одного товара из корзины","166","testUpdateItemInCart","All test","Mon Aug 04 17:00:25 GMT 2025","passed","Mon Aug 04 17:00:25 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testUpdateItemInCart"
"Ложу 2 товара в корзину, изменяю у одного товара количество и удаляю другой товар из корзины","3397","testCRUDCart","All test","Mon Aug 04 17:00:48 GMT 2025","broken","Mon Aug 04 17:00:51 GMT 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testCRUDCart"
"Добавляю товар в корзину и проверяю соответствие характеристик товара на витрине и в корзине","10214","testAddProductToCart","All test","Mon Aug 04 17:00:33 GMT 2025","passed","Mon Aug 04 17:00:44 GMT 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testAddProductToCart"
"Проверка стоимости досавки в зависимости от суммы товаров в корзине","806","testShipping","All test","Mon Aug 04 17:00:26 GMT 2025","passed","Mon Aug 04 17:00:27 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testShipping"
