"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"При обновлении данных товара пытаемся изменить сам товар или задать колличесво одного товара больше 10","686","testUpdateItemInCartNegative","All test","Sat Jul 12 15:50:20 GMT 2025","failed","Sat Jul 12 15:50:21 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testUpdateItemInCartNegative"
"Получаем токен User","514","testGetAccessTokenUser","All test","Sat Jul 12 15:50:14 GMT 2025","broken","Sat Jul 12 15:50:15 GMT 2025","api.test.AuthTest","Tests for API","api.test.AuthTest","testGetAccessTokenUser"
"Получаем токен Guest","2876","testGetAccessTokenGuest","All test","Sat Jul 12 15:50:11 GMT 2025","passed","Sat Jul 12 15:50:14 GMT 2025","api.test.AuthTest","Tests for API","api.test.AuthTest","testGetAccessTokenGuest"
"Получаем все товары из корзины авторизованного пользователя","0","testGetAllItemsInCart","All test","Sat Jul 12 15:50:21 GMT 2025","skipped","Sat Jul 12 15:50:21 GMT 2025","api.test.BagUserTest","Tests for API","api.test.BagUserTest","testGetAllItemsInCart"
"Проверка стоимости досавки в зависимости от суммы товаров в корзине","603","testShipping","All test","Sat Jul 12 15:50:18 GMT 2025","passed","Sat Jul 12 15:50:19 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testShipping"
"Ложу 2 товара в корзину, изменяю у одного товара количество и удаляю другой товар из корзины","15543","testCRUDCart","All test","Sat Jul 12 15:50:46 GMT 2025","broken","Sat Jul 12 15:51:01 GMT 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testCRUDCart"
"Проверка характеристик товара до и после помещения в корзину","773","testProductToCart","All test","Sat Jul 12 15:50:22 GMT 2025","passed","Sat Jul 12 15:50:23 GMT 2025","api.test.ProductGuestTest","Tests for API","api.test.ProductGuestTest","testProductToCart"
"Удаляем товар из корзины авторизованного пользователя","1","testRemoveItemFromCart","All test","Sat Jul 12 15:50:21 GMT 2025","skipped","Sat Jul 12 15:50:21 GMT 2025","api.test.BagUserTest","Tests for API","api.test.BagUserTest","testRemoveItemFromCart"
"При клике по иконке 'account' появляется окно 'Account'","5237","testAccountIcon","All test","Sat Jul 12 15:51:42 GMT 2025","passed","Sat Jul 12 15:51:48 GMT 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","testAccountIcon"
"При клике по иконке 'cart' загружается стараница 'Shopping Bag'","1336","testCartIcon","All test","Sat Jul 12 15:51:51 GMT 2025","passed","Sat Jul 12 15:51:52 GMT 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","testCartIcon"
"Обновляем данные одного товара из корзины","246","testUpdateItemInCart","All test","Sat Jul 12 15:50:16 GMT 2025","passed","Sat Jul 12 15:50:16 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testUpdateItemInCart"
"Удаляем товар из корзины","121","testRemoveItemFromCart","All test","Sat Jul 12 15:50:16 GMT 2025","passed","Sat Jul 12 15:50:16 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testRemoveItemFromCart"
"Получаем все товары из корзины","606","testGetAllItemsInCart","All test","Sat Jul 12 15:50:15 GMT 2025","passed","Sat Jul 12 15:50:16 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testGetAllItemsInCart"
"Ложим 2 товара в корзину авторизованного пользователя, изменяем у одного товара количество и удаляем другой товар из корзины","214","testE2EFromCartUser","All test","Sat Jul 12 15:50:21 GMT 2025","broken","Sat Jul 12 15:50:22 GMT 2025","api.test.BagUserTest","Tests for API","api.test.BagUserTest","testE2EFromCartUser"
"Добавляем товар в корзину авторизованного пользователя","297","testAddItemToCart","All test","Sat Jul 12 15:50:21 GMT 2025","broken","Sat Jul 12 15:50:21 GMT 2025","api.test.BagUserTest","Tests for API","api.test.BagUserTest","testAddItemToCart"
"Добавляем товар в корзину","347","testAddItemToCart","All test","Sat Jul 12 15:50:15 GMT 2025","passed","Sat Jul 12 15:50:15 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testAddItemToCart"
"Обновляю данные о товаре в корзине","15521","testUpdateProductToCart","All test","Sat Jul 12 15:51:23 GMT 2025","broken","Sat Jul 12 15:51:39 GMT 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testUpdateProductToCart"
"Удаляю товар из корзины","15540","testDeleteProductToCart","All test","Sat Jul 12 15:51:04 GMT 2025","broken","Sat Jul 12 15:51:20 GMT 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testDeleteProductToCart"
