"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Ложу 2 товара в корзину, изменяю у одного товара количество и удаляю другой товар из корзины","11363","testCRUDCart","All test","Sat Jul 12 11:41:32 GMT 2025","broken","Sat Jul 12 11:41:43 GMT 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testCRUDCart"
"При клике по иконке 'search' появляется окно 'Search'","5317","testSearchIcon","All test","Sat Jul 12 11:42:31 GMT 2025","passed","Sat Jul 12 11:42:36 GMT 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","testSearchIcon"
"Обновляем данные одного товара из корзины","174","testUpdateItemInCart","All test","Sat Jul 12 11:41:08 GMT 2025","passed","Sat Jul 12 11:41:08 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testUpdateItemInCart"
"Получаем все товары из корзины авторизованного пользователя","0","testGetAllItemsInCart","All test","Sat Jul 12 11:41:13 GMT 2025","skipped","Sat Jul 12 11:41:13 GMT 2025","api.test.BagUserTest","Tests for API","api.test.BagUserTest","testGetAllItemsInCart"
"Добавляем товар в корзину авторизованного пользователя","189","testAddItemToCart","All test","Sat Jul 12 11:41:13 GMT 2025","broken","Sat Jul 12 11:41:13 GMT 2025","api.test.BagUserTest","Tests for API","api.test.BagUserTest","testAddItemToCart"
"Удаляю товар из корзины","10188","testDeleteProductToCart","All test","Sat Jul 12 11:41:47 GMT 2025","broken","Sat Jul 12 11:41:57 GMT 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testDeleteProductToCart"
"Проверка стоимости досавки в зависимости от суммы товаров в корзине","674","testShipping","All test","Sat Jul 12 11:41:10 GMT 2025","passed","Sat Jul 12 11:41:11 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testShipping"
"Ложим 2 товара в корзину авторизованного пользователя, изменяем у одного товара количество и удаляем другой товар из корзины","209","testE2EFromCartUser","All test","Sat Jul 12 11:41:13 GMT 2025","broken","Sat Jul 12 11:41:14 GMT 2025","api.test.BagUserTest","Tests for API","api.test.BagUserTest","testE2EFromCartUser"
"Удаляем товар из корзины авторизованного пользователя","0","testRemoveItemFromCart","All test","Sat Jul 12 11:41:13 GMT 2025","skipped","Sat Jul 12 11:41:13 GMT 2025","api.test.BagUserTest","Tests for API","api.test.BagUserTest","testRemoveItemFromCart"
"Проверка стоимости досавки в зависимости от суммы товаров в корзине","574","testShipping","All test","Sat Jul 12 11:41:11 GMT 2025","passed","Sat Jul 12 11:41:12 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testShipping"
"Получаем токен Guest","2908","testGetAccessTokenGuest","All test","Sat Jul 12 11:41:04 GMT 2025","passed","Sat Jul 12 11:41:07 GMT 2025","api.test.AuthTest","Tests for API","api.test.AuthTest","testGetAccessTokenGuest"
"Ложим 2 товара в корзину, изменяем у одного товара количество и удаляем другой товар из корзины","1786","testCRUDCartGuest","All test","Sat Jul 12 11:41:08 GMT 2025","passed","Sat Jul 12 11:41:10 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testCRUDCartGuest"
"Добавляем товар в корзину","457","testAddItemToCart","All test","Sat Jul 12 11:41:07 GMT 2025","passed","Sat Jul 12 11:41:07 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testAddItemToCart"
"Обновляем данные одного товара из корзины авторизованного пользователя","0","testUpdateItemInCart","All test","Sat Jul 12 11:41:13 GMT 2025","skipped","Sat Jul 12 11:41:13 GMT 2025","api.test.BagUserTest","Tests for API","api.test.BagUserTest","testUpdateItemInCart"
"При клике по иконке 'account' появляется окно 'Account'","5285","testAccountIcon","All test","Sat Jul 12 11:42:14 GMT 2025","passed","Sat Jul 12 11:42:19 GMT 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","testAccountIcon"
"Проверка характеристик товара до и после помещения в корзину","707","testProductToCart","All test","Sat Jul 12 11:41:14 GMT 2025","passed","Sat Jul 12 11:41:15 GMT 2025","api.test.ProductGuestTest","Tests for API","api.test.ProductGuestTest","testProductToCart"
"Удаляем товар из корзины","150","testRemoveItemFromCart","All test","Sat Jul 12 11:41:08 GMT 2025","passed","Sat Jul 12 11:41:08 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testRemoveItemFromCart"
"Получаем все товары из корзины","663","testGetAllItemsInCart","All test","Sat Jul 12 11:41:07 GMT 2025","passed","Sat Jul 12 11:41:08 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testGetAllItemsInCart"
"Получаем токен User","458","testGetAccessTokenUser","All test","Sat Jul 12 11:41:07 GMT 2025","broken","Sat Jul 12 11:41:07 GMT 2025","api.test.AuthTest","Tests for API","api.test.AuthTest","testGetAccessTokenUser"
"При клике по иконке 'favorites' загружается стараница 'Favorites'","731","testFavoritesIcon","All test","Sat Jul 12 11:42:27 GMT 2025","passed","Sat Jul 12 11:42:28 GMT 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","testFavoritesIcon"
"Обновляю данные о товаре в корзине","10665","testUpdateProductToCart","All test","Sat Jul 12 11:42:00 GMT 2025","broken","Sat Jul 12 11:42:11 GMT 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testUpdateProductToCart"
"Добавляю товар в корзину","10231","testAddProductToCart","All test","Sat Jul 12 11:41:19 GMT 2025","broken","Sat Jul 12 11:41:29 GMT 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testAddProductToCart"
"Получаю данные о товаре","304","testGetProduct","All test","Sat Jul 12 11:41:14 GMT 2025","passed","Sat Jul 12 11:41:14 GMT 2025","api.test.ProductGuestTest","Tests for API","api.test.ProductGuestTest","testGetProduct"
"При клике по иконке 'cart' загружается стараница 'Shopping Bag'","442","testCartIcon","All test","Sat Jul 12 11:42:23 GMT 2025","broken","Sat Jul 12 11:42:23 GMT 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","testCartIcon"
"При обновлении данных товара пытаемся изменить сам товар или задать колличесво одного товара больше 10","772","testUpdateItemInCartNegative","All test","Sat Jul 12 11:41:12 GMT 2025","failed","Sat Jul 12 11:41:12 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testUpdateItemInCartNegative"
"При обновлении данных товара пытаемся изменить сам товар или задать колличесво одного товара больше 10","843","testUpdateItemInCartNegative","All test","Sat Jul 12 11:41:12 GMT 2025","failed","Sat Jul 12 11:41:13 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testUpdateItemInCartNegative"
