"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"При клике по иконке 'account' появляется окно 'Account'","0","testAccountIcon","All test","Wed Jul 09 20:37:18 GMT 2025","skipped","Wed Jul 09 20:37:18 GMT 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","testAccountIcon"
"При обновлении данных товара пытаемся изменить сам товар или задать колличесво одного товара больше 10","712","testUpdateItemInCartNegative","All test","Wed Jul 09 20:37:13 GMT 2025","failed","Wed Jul 09 20:37:14 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testUpdateItemInCartNegative"
"Добавляем товар в корзину","0","testAddProductToCart","All test","Wed Jul 09 20:37:18 GMT 2025","skipped","Wed Jul 09 20:37:18 GMT 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testAddProductToCart"
"Обновляем данные о товаре в корзине","0","testUpdateProductToCart","All test","Wed Jul 09 20:37:18 GMT 2025","skipped","Wed Jul 09 20:37:18 GMT 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testUpdateProductToCart"
"Обновляем данные одного товара из корзины авторизованного пользователя","0","testUpdateItemInCart","All test","Wed Jul 09 20:37:14 GMT 2025","skipped","Wed Jul 09 20:37:14 GMT 2025","api.test.BagUserTest","Tests for API","api.test.BagUserTest","testUpdateItemInCart"
"Получаем токен User","464","testGetAccessTokenUser","All test","Wed Jul 09 20:37:08 GMT 2025","broken","Wed Jul 09 20:37:09 GMT 2025","api.test.AuthTest","Tests for API","api.test.AuthTest","testGetAccessTokenUser"
"","0","beforeMethod","All test","Wed Jul 09 20:37:18 GMT 2025","broken","Wed Jul 09 20:37:18 GMT 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","beforeMethod"
"Получаю данные о товаре","230","testGetProduct","All test","Wed Jul 09 20:37:14 GMT 2025","passed","Wed Jul 09 20:37:15 GMT 2025","api.test.ProductGuestTest","Tests for API","api.test.ProductGuestTest","testGetProduct"
"Проверка стоимости досавки в зависимости от суммы товаров в корзине","563","testShipping","All test","Wed Jul 09 20:37:12 GMT 2025","passed","Wed Jul 09 20:37:12 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testShipping"
"Получаем все товары из корзины авторизованного пользователя","0","testGetAllItemsInCart","All test","Wed Jul 09 20:37:14 GMT 2025","skipped","Wed Jul 09 20:37:14 GMT 2025","api.test.BagUserTest","Tests for API","api.test.BagUserTest","testGetAllItemsInCart"
