"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","beforeMethod","All test","Wed Jul 09 18:36:49 GMT 2025","broken","Wed Jul 09 18:36:49 GMT 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","beforeMethod"
"При клике по иконке 'cart' загружается стараница 'Shopping Bag'","0","testCartIcon","All test","Wed Jul 09 18:36:49 GMT 2025","skipped","Wed Jul 09 18:36:49 GMT 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","testCartIcon"
"Добавляем товар в корзину","534","testAddItemToCart","All test","Wed Jul 09 18:36:34 GMT 2025","passed","Wed Jul 09 18:36:35 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testAddItemToCart"
"Обновляем данные о товаре в корзине","0","testUpdateProductToCart","All test","Wed Jul 09 18:36:49 GMT 2025","skipped","Wed Jul 09 18:36:49 GMT 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testUpdateProductToCart"
"Обновляем данные одного товара из корзины","235","testUpdateItemInCart","All test","Wed Jul 09 18:36:35 GMT 2025","passed","Wed Jul 09 18:36:35 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testUpdateItemInCart"
"Получаем все товары из корзины","677","testGetAllItemsInCart","All test","Wed Jul 09 18:36:35 GMT 2025","passed","Wed Jul 09 18:36:35 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testGetAllItemsInCart"
"Добавляем товар в корзину авторизованного пользователя","361","testAddItemToCart","All test","Wed Jul 09 18:36:42 GMT 2025","broken","Wed Jul 09 18:36:42 GMT 2025","api.test.BagUserTest","Tests for API","api.test.BagUserTest","testAddItemToCart"
"Добавляем товар в корзину","0","testAddProductToCart","All test","Wed Jul 09 18:36:49 GMT 2025","skipped","Wed Jul 09 18:36:49 GMT 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testAddProductToCart"
"Проверка характеристик товара до и после помещения в корзину","1871","testProductToCart","All test","Wed Jul 09 18:36:43 GMT 2025","passed","Wed Jul 09 18:36:45 GMT 2025","api.test.ProductGuestTest","Tests for API","api.test.ProductGuestTest","testProductToCart"
"Проверка стоимости досавки в зависимости от суммы товаров в корзине","871","testShipping","All test","Wed Jul 09 18:36:39 GMT 2025","passed","Wed Jul 09 18:36:40 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testShipping"
"Получаем токен User","695","testGetAccessTokenUser","All test","Wed Jul 09 18:36:33 GMT 2025","broken","Wed Jul 09 18:36:34 GMT 2025","api.test.AuthTest","Tests for API","api.test.AuthTest","testGetAccessTokenUser"
"При клике по иконке 'favorites' загружается стараница 'Favorites'","1","testFavoritesIcon","All test","Wed Jul 09 18:36:49 GMT 2025","skipped","Wed Jul 09 18:36:49 GMT 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","testFavoritesIcon"
"","0","beforeMethod","All test","Wed Jul 09 18:36:49 GMT 2025","broken","Wed Jul 09 18:36:49 GMT 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","beforeMethod"
"Получаем все товары из корзины авторизованного пользователя","0","testGetAllItemsInCart","All test","Wed Jul 09 18:36:42 GMT 2025","skipped","Wed Jul 09 18:36:42 GMT 2025","api.test.BagUserTest","Tests for API","api.test.BagUserTest","testGetAllItemsInCart"
"При обновлении данных товара пытаемся изменить сам товар или задать колличесво одного товара больше 10","977","testUpdateItemInCartNegative","All test","Wed Jul 09 18:36:41 GMT 2025","failed","Wed Jul 09 18:36:42 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testUpdateItemInCartNegative"
