"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"При клике по иконке 'cart' загружается стараница 'Shopping Bag'","1328","testCartIcon","All test","Sat Jul 12 14:55:33 GMT 2025","passed","Sat Jul 12 14:55:34 GMT 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","testCartIcon"
"Обновляю данные о товаре в корзине","10052","testUpdateProductToCart","All test","Sat Jul 12 14:55:11 GMT 2025","broken","Sat Jul 12 14:55:21 GMT 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testUpdateProductToCart"
"При обновлении данных товара пытаемся изменить сам товар или задать колличесво одного товара больше 10","768","testUpdateItemInCartNegative","All test","Sat Jul 12 14:54:22 GMT 2025","failed","Sat Jul 12 14:54:23 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testUpdateItemInCartNegative"
"Обновляем данные одного товара из корзины","115","testUpdateItemInCart","All test","Sat Jul 12 14:54:19 GMT 2025","passed","Sat Jul 12 14:54:19 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testUpdateItemInCart"
"Ложу 2 товара в корзину, изменяю у одного товара количество и удаляю другой товар из корзины","10245","testCRUDCart","All test","Sat Jul 12 14:54:43 GMT 2025","broken","Sat Jul 12 14:54:54 GMT 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testCRUDCart"
"Ложим 2 товара в корзину авторизованного пользователя, изменяем у одного товара количество и удаляем другой товар из корзины","249","testE2EFromCartUser","All test","Sat Jul 12 14:54:24 GMT 2025","broken","Sat Jul 12 14:54:24 GMT 2025","api.test.BagUserTest","Tests for API","api.test.BagUserTest","testE2EFromCartUser"
"Удаляем товар из корзины авторизованного пользователя","1","testRemoveItemFromCart","All test","Sat Jul 12 14:54:24 GMT 2025","skipped","Sat Jul 12 14:54:24 GMT 2025","api.test.BagUserTest","Tests for API","api.test.BagUserTest","testRemoveItemFromCart"
"Удаляем товар из корзины","180","testRemoveItemFromCart","All test","Sat Jul 12 14:54:19 GMT 2025","passed","Sat Jul 12 14:54:19 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testRemoveItemFromCart"
"Получаем все товары из корзины авторизованного пользователя","1","testGetAllItemsInCart","All test","Sat Jul 12 14:54:24 GMT 2025","skipped","Sat Jul 12 14:54:24 GMT 2025","api.test.BagUserTest","Tests for API","api.test.BagUserTest","testGetAllItemsInCart"
"Получаем токен Guest","3198","testGetAccessTokenGuest","All test","Sat Jul 12 14:54:14 GMT 2025","passed","Sat Jul 12 14:54:17 GMT 2025","api.test.AuthTest","Tests for API","api.test.AuthTest","testGetAccessTokenGuest"
"Проверка стоимости досавки в зависимости от суммы товаров в корзине","596","testShipping","All test","Sat Jul 12 14:54:22 GMT 2025","passed","Sat Jul 12 14:54:22 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testShipping"
