"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Обновляю данные о товаре в корзине","56231","testUpdateProductToCart","All test","Sun Jul 13 18:56:40 GMT 2025","passed","Sun Jul 13 18:57:36 GMT 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testUpdateProductToCart"
"Удаляем товар из корзины","162","testRemoveItemFromCart","All test","Sun Jul 13 18:54:25 GMT 2025","passed","Sun Jul 13 18:54:25 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testRemoveItemFromCart"
"Добавляю товар в корзину","20044","testAddProductToCart","All test","Sun Jul 13 18:54:38 GMT 2025","passed","Sun Jul 13 18:54:58 GMT 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testAddProductToCart"
"При клике по иконке 'favorites' загружается стараница 'Favorites'","5664","testFavoritesIcon","All test","Sun Jul 13 18:57:55 GMT 2025","passed","Sun Jul 13 18:58:01 GMT 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","testFavoritesIcon"
"Удаляем товар из корзины авторизованного пользователя","1","testRemoveItemFromCart","All test","Sun Jul 13 18:54:32 GMT 2025","skipped","Sun Jul 13 18:54:32 GMT 2025","api.test.BagUserTest","Tests for API","api.test.BagUserTest","testRemoveItemFromCart"
"Добавляем товар в корзину авторизованного пользователя","210","testAddItemToCart","All test","Sun Jul 13 18:54:32 GMT 2025","broken","Sun Jul 13 18:54:32 GMT 2025","api.test.BagUserTest","Tests for API","api.test.BagUserTest","testAddItemToCart"
"При клике по иконке 'search' появляется окно 'Search'","5367","testSearchIcon","All test","Sun Jul 13 18:58:05 GMT 2025","passed","Sun Jul 13 18:58:10 GMT 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","testSearchIcon"
"Получаем токен Guest","3046","testGetAccessTokenGuest","All test","Sun Jul 13 18:54:20 GMT 2025","passed","Sun Jul 13 18:54:23 GMT 2025","api.test.AuthTest","Tests for API","api.test.AuthTest","testGetAccessTokenGuest"
"Ложим 2 товара в корзину авторизованного пользователя, изменяем у одного товара количество и удаляем другой товар из корзины","208","testE2EFromCartUser","All test","Sun Jul 13 18:54:32 GMT 2025","broken","Sun Jul 13 18:54:32 GMT 2025","api.test.BagUserTest","Tests for API","api.test.BagUserTest","testE2EFromCartUser"
"При клике по иконке 'cart' загружается стараница 'Shopping Bag'","1854","testCartIcon","All test","Sun Jul 13 18:57:50 GMT 2025","passed","Sun Jul 13 18:57:51 GMT 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","testCartIcon"
"Получаем токен User","556","testGetAccessTokenUser","All test","Sun Jul 13 18:54:23 GMT 2025","broken","Sun Jul 13 18:54:24 GMT 2025","api.test.AuthTest","Tests for API","api.test.AuthTest","testGetAccessTokenUser"
"Получаю данные о товаре","486","testGetProduct","All test","Sun Jul 13 18:54:32 GMT 2025","passed","Sun Jul 13 18:54:33 GMT 2025","api.test.ProductGuestTest","Tests for API","api.test.ProductGuestTest","testGetProduct"
