"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка стоимости досавки в зависимости от суммы товаров в корзине","688","testShipping","All test","Thu Jul 31 09:13:59 GMT 2025","passed","Thu Jul 31 09:14:00 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testShipping"
"Обновляю данные о товаре в корзине","51893","testUpdateProductToCart","All test","Thu Jul 31 09:16:35 GMT 2025","broken","Thu Jul 31 09:17:27 GMT 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testUpdateProductToCart"
"Удаляем товар из корзины авторизованного пользователя","0","testRemoveItemFromCart","All test","Thu Jul 31 09:14:02 GMT 2025","skipped","Thu Jul 31 09:14:02 GMT 2025","api.test.BagUserTest","Tests for API","api.test.BagUserTest","testRemoveItemFromCart"
"Обновляем данные одного товара из корзины авторизованного пользователя","0","testUpdateItemInCart","All test","Thu Jul 31 09:14:02 GMT 2025","skipped","Thu Jul 31 09:14:02 GMT 2025","api.test.BagUserTest","Tests for API","api.test.BagUserTest","testUpdateItemInCart"
"При клике по иконке 'favorites' загружается стараница 'Favorites'","5830","testFavoritesIcon","All test","Thu Jul 31 09:17:47 GMT 2025","passed","Thu Jul 31 09:17:53 GMT 2025","ui.tests.TopPanelTest","Tests for UI","ui.tests.TopPanelTest","testFavoritesIcon"
"Получаю данные о товаре","348","testGetProduct","All test","Thu Jul 31 09:14:02 GMT 2025","passed","Thu Jul 31 09:14:03 GMT 2025","api.test.ProductGuestTest","Tests for API","api.test.ProductGuestTest","testGetProduct"
"Получаем все товары из корзины авторизованного пользователя","1","testGetAllItemsInCart","All test","Thu Jul 31 09:14:02 GMT 2025","skipped","Thu Jul 31 09:14:02 GMT 2025","api.test.BagUserTest","Tests for API","api.test.BagUserTest","testGetAllItemsInCart"
"При обновлении данных товара пытаемся изменить сам товар или задать колличесво одного товара больше 10","835","testUpdateItemInCartNegative","All test","Thu Jul 31 09:14:00 GMT 2025","failed","Thu Jul 31 09:14:01 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testUpdateItemInCartNegative"
"Проверка стоимости досавки в зависимости от суммы товаров в корзине","674","testShipping","All test","Thu Jul 31 09:14:00 GMT 2025","failed","Thu Jul 31 09:14:00 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testShipping"
"Удаляем товар из корзины","199","testRemoveItemFromCart","All test","Thu Jul 31 09:13:58 GMT 2025","passed","Thu Jul 31 09:13:58 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testRemoveItemFromCart"
"Удаляю товар из корзины","34473","testDeleteProductToCart","All test","Thu Jul 31 09:15:57 GMT 2025","passed","Thu Jul 31 09:16:32 GMT 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testDeleteProductToCart"
"Обновляем данные одного товара из корзины","156","testUpdateItemInCart","All test","Thu Jul 31 09:13:58 GMT 2025","passed","Thu Jul 31 09:13:58 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testUpdateItemInCart"
"Добавляю товар в корзину","23738","testAddProductToCart","All test","Thu Jul 31 09:14:08 GMT 2025","passed","Thu Jul 31 09:14:32 GMT 2025","ui.tests.CrudProductToCartTest","Tests for UI","ui.tests.CrudProductToCartTest","testAddProductToCart"
"Получаем все товары из корзины","623","testGetAllItemsInCart","All test","Thu Jul 31 09:13:57 GMT 2025","passed","Thu Jul 31 09:13:58 GMT 2025","api.test.BagGuestTest","Tests for API","api.test.BagGuestTest","testGetAllItemsInCart"
